id,uri,label,definition,synonyms,parent,attributes,enfants,individus,rich_text
AnimalOrganism,http://example.org/animal-taxonomy-B/AnimalOrganism,Animal Organism,Living creature that consumes organic material and typically has mobility and sensory capabilities,Creature;Beast;Living Animal,,"kingdom: Animalia, type: base_class",Mammalian|http://example.org/animal-taxonomy-B/Mammalian;Avian Class|http://example.org/animal-taxonomy-B/AvianClass;Reptilian Class|http://example.org/animal-taxonomy-B/ReptilianClass;Aquatic Vertebrate|http://example.org/animal-taxonomy-B/AquaticVertebrate;Amphibious Animal|http://example.org/animal-taxonomy-B/AmphibiousAnimal;Spineless|http://example.org/animal-taxonomy-B/Spineless,,Animal Organism. Living creature that consumes organic material and typically has mobility and sensory capabilities
Mammalian,http://example.org/animal-taxonomy-B/Mammalian,Mammalian,"Endothermic vertebrate distinguished by fur, mammary glands, and live birth",Mammal Class;Mammalia;Warm-blooded Animal,Animal Organism|http://example.org/animal-taxonomy-B/AnimalOrganism,"class: Mammalia, temperature_regulation: endothermic, offspring: live_birth",Carnivorous Mammal|http://example.org/animal-taxonomy-B/CarnivorousMammal;Primate Order|http://example.org/animal-taxonomy-B/PrimateOrder;Rodent Order|http://example.org/animal-taxonomy-B/RodentOrder;Marine Mammal|http://example.org/animal-taxonomy-B/MarineMammal,,"Mammalian. Endothermic vertebrate distinguished by fur, mammary glands, and live birth"
CarnivorousMammal,http://example.org/animal-taxonomy-B/CarnivorousMammal,Carnivorous Mammal,Flesh-eating mammal with adaptations for hunting,Predator;Carnivora Order;Hunter,Mammalian|http://example.org/animal-taxonomy-B/Mammalian,"order: Carnivora, feeding_type: carnivorous",Felid Family|http://example.org/animal-taxonomy-B/FelidFamily;Canid Group|http://example.org/animal-taxonomy-B/CanidGroup;Bear Family|http://example.org/animal-taxonomy-B/BearFamily,,Carnivorous Mammal. Flesh-eating mammal with adaptations for hunting
FelidFamily,http://example.org/animal-taxonomy-B/FelidFamily,Felid Family,Carnivorous mammals of the cat family with retractable claws,Cat;Feline;Felidae Family,Carnivorous Mammal|http://example.org/animal-taxonomy-B/CarnivorousMammal,"family: Felidae, claw_type: retractable",African Lion|http://example.org/animal-taxonomy-B/AfricanLion;Tiger Species|http://example.org/animal-taxonomy-B/TigerSpecies;Spotted Leopard|http://example.org/animal-taxonomy-B/SpottedLeopard;Fast Cheetah|http://example.org/animal-taxonomy-B/FastCheetah;House Cat|http://example.org/animal-taxonomy-B/HouseCat,,Felid Family. Carnivorous mammals of the cat family with retractable claws
AfricanLion,http://example.org/animal-taxonomy-B/AfricanLion,African Lion,Large social cat with distinctive mane in males,Lion;Panthera leo;Savanna Lion,Felid Family|http://example.org/animal-taxonomy-B/FelidFamily,"species: Panthera leo, environment: grassland, status: vulnerable",,Leo (Male African lion in Kruger National Park);Zara (Female African lion in Kruger National Park),African Lion. Large social cat with distinctive mane in males
TigerSpecies,http://example.org/animal-taxonomy-B/TigerSpecies,Tiger Species,Largest feline with orange fur and black striping pattern,Tiger;Panthera tigris;Striped Predator,Felid Family|http://example.org/animal-taxonomy-B/FelidFamily,"species: Panthera tigris, environment: jungle, status: endangered",,Raja (Bengal tiger in Indian reserve),Tiger Species. Largest feline with orange fur and black striping pattern
SpottedLeopard,http://example.org/animal-taxonomy-B/SpottedLeopard,Spotted Leopard,Solitary big cat with rosette-patterned coat,Leopard;Panthera pardus;Black Panther,Felid Family|http://example.org/animal-taxonomy-B/FelidFamily,"species: Panthera pardus, environment: diverse, status: vulnerable",,,Spotted Leopard. Solitary big cat with rosette-patterned coat
FastCheetah,http://example.org/animal-taxonomy-B/FastCheetah,Fast Cheetah,Speediest terrestrial animal with characteristic tear streaks,Cheetah;Acinonyx jubatus;Sprint Cat,Felid Family|http://example.org/animal-taxonomy-B/FelidFamily,"species: Acinonyx jubatus, environment: open_plains, velocity: 120 km/h",,Bolt (Record-breaking cheetah in Namibian grassland),Fast Cheetah. Speediest terrestrial animal with characteristic tear streaks
HouseCat,http://example.org/animal-taxonomy-B/HouseCat,House Cat,Small tamed feline commonly kept as companion animal,Domestic Cat;Felis catus;Pet Feline,Felid Family|http://example.org/animal-taxonomy-B/FelidFamily,"species: Felis catus, environment: human_dwelling, domestication: yes",,Mittens (Domestic short-hair cat),House Cat. Small tamed feline commonly kept as companion animal
CanidGroup,http://example.org/animal-taxonomy-B/CanidGroup,Canid Group,"Family of carnivorous mammals including wolves, dogs, and foxes",Dog Family;Canidae;Canine Group,Carnivorous Mammal|http://example.org/animal-taxonomy-B/CarnivorousMammal,family: Canidae,Grey Wolf|http://example.org/animal-taxonomy-B/GreyWolf;Domestic Dog|http://example.org/animal-taxonomy-B/DomesticDog;Red Fox|http://example.org/animal-taxonomy-B/RedFox,,"Canid Group. Family of carnivorous mammals including wolves, dogs, and foxes"
