id,uri,label,definition,synonyms,parent,attributes,enfants,individus,rich_text
Animal,http://example.org/animal-ontology-A/Animal,Animal,"A living organism that feeds on organic matter, typically having specialized sense organs and nervous system",Animalia;Metazoa;Fauna,,"kingdom: Animalia, type: root_class",Mammal|http://example.org/animal-ontology-A/Mammal;Bird|http://example.org/animal-ontology-A/Bird;Reptile|http://example.org/animal-ontology-A/Reptile;Fish|http://example.org/animal-ontology-A/Fish;Amphibian|http://example.org/animal-ontology-A/Amphibian;Invertebrate|http://example.org/animal-ontology-A/Invertebrate,,"Animal. A living organism that feeds on organic matter, typically having specialized sense organs and nervous system"
Mammal,http://example.org/animal-ontology-A/Mammal,Mammal,Warm-blooded vertebrate animal characterized by hair or fur and mammary glands,Mammalia;Mammalian,Animal|http://example.org/animal-ontology-A/Animal,"class: Mammalia, body_temperature: warm-blooded, reproduction: viviparous",Carnivore|http://example.org/animal-ontology-A/Carnivore;Primate|http://example.org/animal-ontology-A/Primate;Rodent|http://example.org/animal-ontology-A/Rodent;Cetacean|http://example.org/animal-ontology-A/Cetacean,,Mammal. Warm-blooded vertebrate animal characterized by hair or fur and mammary glands
Carnivore,http://example.org/animal-ontology-A/Carnivore,Carnivore,Mammal that primarily feeds on flesh,Carnivora;Meat-eater;Predatory Mammal,Mammal|http://example.org/animal-ontology-A/Mammal,"order: Carnivora, diet: carnivorous",Felidae|http://example.org/animal-ontology-A/Felidae;Canidae|http://example.org/animal-ontology-A/Canidae;Ursidae|http://example.org/animal-ontology-A/Ursidae,,Carnivore. Mammal that primarily feeds on flesh
Felidae,http://example.org/animal-ontology-A/Felidae,Felidae,Family of carnivorous mammals commonly known as cats,Cat Family;Felines;Cats,Carnivore|http://example.org/animal-ontology-A/Carnivore,"family: Felidae, characteristics: retractable_claws",Lion|http://example.org/animal-ontology-A/Lion;Tiger|http://example.org/animal-ontology-A/Tiger;Leopard|http://example.org/animal-ontology-A/Leopard;Cheetah|http://example.org/animal-ontology-A/Cheetah;Domestic Cat|http://example.org/animal-ontology-A/DomesticCat,,Felidae. Family of carnivorous mammals commonly known as cats
Lion,http://example.org/animal-ontology-A/Lion,Lion,Large tawny-colored cat that lives in prides,Panthera leo;King of the Jungle;African Lion,Felidae|http://example.org/animal-ontology-A/Felidae,"species: Panthera leo, habitat: savanna, conservation_status: vulnerable",,Simba (Male lion residing in Serengeti National Park);Nala (Female lion residing in Serengeti National Park),Lion. Large tawny-colored cat that lives in prides
Tiger,http://example.org/animal-ontology-A/Tiger,Tiger,Largest cat species with distinctive orange coat and black stripes,Panthera tigris;Bengal Tiger;Striped Cat,Felidae|http://example.org/animal-ontology-A/Felidae,"species: Panthera tigris, habitat: forest, conservation_status: endangered",,Stripe (Bengal tiger in wildlife sanctuary),Tiger. Largest cat species with distinctive orange coat and black stripes
Leopard,http://example.org/animal-ontology-A/Leopard,Leopard,Large cat with spotted coat found in Africa and Asia,Panthera pardus;Spotted Cat;Panther,Felidae|http://example.org/animal-ontology-A/Felidae,"species: Panthera pardus, habitat: various, conservation_status: vulnerable",,,Leopard. Large cat with spotted coat found in Africa and Asia
Cheetah,http://example.org/animal-ontology-A/Cheetah,Cheetah,Fastest land animal with distinctive black tear marks,Acinonyx jubatus;Hunting Leopard;Speed Cat,Felidae|http://example.org/animal-ontology-A/Felidae,"species: Acinonyx jubatus, habitat: grassland, max_speed: 120 km/h",,Flash (Fastest recorded cheetah in Namibia),Cheetah. Fastest land animal with distinctive black tear marks
DomesticCat,http://example.org/animal-ontology-A/DomesticCat,Domestic Cat,Small domesticated carnivorous mammal kept as pet,Felis catus;House Cat;Pet Cat,Felidae|http://example.org/animal-ontology-A/Felidae,"species: Felis catus, habitat: domestic, status: domesticated",,Whiskers (Domestic tabby cat),Domestic Cat. Small domesticated carnivorous mammal kept as pet
Canidae,http://example.org/animal-ontology-A/Canidae,Canidae,"Family of carnivorous mammals including dogs, wolves, and foxes",Dog Family;Canines,Carnivore|http://example.org/animal-ontology-A/Carnivore,family: Canidae,Wolf|http://example.org/animal-ontology-A/Wolf;Dog|http://example.org/animal-ontology-A/Dog;Fox|http://example.org/animal-ontology-A/Fox,,"Canidae. Family of carnivorous mammals including dogs, wolves, and foxes"
Wolf,http://example.org/animal-ontology-A/Wolf,Wolf,Large canine native to wilderness areas,Canis lupus;Gray Wolf;Timber Wolf,Canidae|http://example.org/animal-ontology-A/Canidae,"species: Canis lupus, habitat: forest, social: pack animal",,Grey (Alpha male wolf in Yellowstone pack),Wolf. Large canine native to wilderness areas
Dog,http://example.org/animal-ontology-A/Dog,Dog,Domesticated carnivorous mammal descended from wolves,Canis familiaris;Domestic Dog;Canine,Canidae|http://example.org/animal-ontology-A/Canidae,"species: Canis familiaris, habitat: domestic, status: domesticated",,Buddy (Golden Retriever pet dog),Dog. Domesticated carnivorous mammal descended from wolves
